Refinery Configuration,Config,Capture Scenario,Year,PADD,Scenario,API,Sul,"Total Avoided CO2,kt/y","Marginal Abatement Cost, $/t"
Deep Conversion: FCC (4),4,CNR,2050,2,MEDIUM,HEAVY,SOUR,520.1620212,219.1500666
Deep Conversion: FCC (4),4,FCC,2050,2,MEDIUM,HEAVY,SOUR,1690.258252,126.3160711
Deep Conversion: FCC (4),4,Coker,2050,2,MEDIUM,HEAVY,SOUR,763.7424612,210.7657185
Deep Conversion: FCC (4),4,Hydrotreater,2050,2,MEDIUM,HEAVY,SOUR,1638.828416,196.9617345
Deep Conversion: FCC (4),4,Steam Boiler,2050,2,MEDIUM,HEAVY,SOUR,134.3377245,271.5993219
Deep Conversion: FCC (4),4,SMR,2050,2,MEDIUM,HEAVY,SOUR,581.1226388,175.8115239
Deep Conversion: FCC (4),4,Others,2050,2,MEDIUM,HEAVY,SOUR,408.5568018,225.7272086
Deep Conversion: GO-HC (5),5,ADU/VDU,2050,2,MEDIUM,HEAVY,SOUR,0,0
Deep Conversion: GO-HC (5),5,CNR,2050,2,MEDIUM,HEAVY,SOUR,0,0
Deep Conversion: GO-HC (5),5,FCC,2050,2,MEDIUM,HEAVY,SOUR,0,0
Deep Conversion: GO-HC (5),5,Coker,2050,2,MEDIUM,HEAVY,SOUR,0,0
Deep Conversion: GO-HC (5),5,Hydrotreater,2050,2,MEDIUM,HEAVY,SOUR,0,0
Deep Conversion: GO-HC (5),5,Steam Boiler,2050,2,MEDIUM,HEAVY,SOUR,0,0
Deep Conversion: GO-HC (5),5,SMR,2050,2,MEDIUM,HEAVY,SOUR,0,0
Deep Conversion: GO-HC (5),5,Others,2050,2,MEDIUM,HEAVY,SOUR,0,0
Deep Conversion: FCC & GO-HC (6),6,ADU/VDU,2050,2,MEDIUM,HEAVY,SOUR,1774.708257,197.3057201
Deep Conversion: FCC & GO-HC (6),6,CNR,2050,2,MEDIUM,HEAVY,SOUR,793.0220377,211.2980116
Deep Conversion: FCC & GO-HC (6),6,FCC,2050,2,MEDIUM,HEAVY,SOUR,1785.313589,125.6063557
Deep Conversion: FCC & GO-HC (6),6,Coker,2050,2,MEDIUM,HEAVY,SOUR,850.551279,209.9781352
Deep Conversion: FCC & GO-HC (6),6,Hydrotreater,2050,2,MEDIUM,HEAVY,SOUR,1717.436806,197.5775812
Deep Conversion: FCC & GO-HC (6),6,Steam Boiler,2050,2,MEDIUM,HEAVY,SOUR,152.7009993,266.9471851
Deep Conversion: FCC & GO-HC (6),6,SMR,2050,2,MEDIUM,HEAVY,SOUR,901.7025363,166.3794899
Deep Conversion: FCC & GO-HC (6),6,Others,2050,2,MEDIUM,HEAVY,SOUR,633.4798455,216.1007695
Hydroskimming Configuration (0),0,ADU/VDU,2050,3,MEDIUM,HEAVY,SOUR,251.584092,165.9472686
Hydroskimming Configuration (0),0,CNR,2050,3,MEDIUM,HEAVY,SOUR,45.43350655,213.775305
Hydroskimming Configuration (0),0,FCC,2050,3,MEDIUM,HEAVY,SOUR,0,0
Hydroskimming Configuration (0),0,Coker,2050,3,MEDIUM,HEAVY,SOUR,0,0
Hydroskimming Configuration (0),0,Hydrotreater,2050,3,MEDIUM,HEAVY,SOUR,241.3438232,166.8526851
Hydroskimming Configuration (0),0,Steam Boiler,2050,3,MEDIUM,HEAVY,SOUR,27.37414837,236.2024171
Hydroskimming Configuration (0),0,SMR,2050,3,MEDIUM,HEAVY,SOUR,81.93280805,160.3465648
Hydroskimming Configuration (0),0,Others,2050,3,MEDIUM,HEAVY,SOUR,48.58871732,210.8881007
Medium Conversion:  FCC (1),1,ADU/VDU,2050,3,MEDIUM,HEAVY,SOUR,1266.163276,141.33788
Medium Conversion:  FCC (1),1,CNR,2050,3,MEDIUM,HEAVY,SOUR,494.1182093,154.5365684
Medium Conversion:  FCC (1),1,FCC,2050,3,MEDIUM,HEAVY,SOUR,1166.194297,94.72940697
Medium Conversion:  FCC (1),1,Coker,2050,3,MEDIUM,HEAVY,SOUR,550.4272551,152.8734806
Medium Conversion:  FCC (1),1,Hydrotreater,2050,3,MEDIUM,HEAVY,SOUR,1392.745395,140.1301502
Medium Conversion:  FCC (1),1,Steam Boiler,2050,3,MEDIUM,HEAVY,SOUR,168.6664821,181.444959
Medium Conversion:  FCC (1),1,SMR,2050,3,MEDIUM,HEAVY,SOUR,268.7957256,138.5968977
Medium Conversion:  FCC (1),1,Others,2050,3,MEDIUM,HEAVY,SOUR,136.6579974,189.8670587
Medium Conversion: GO-HC (2),2,ADU/VDU,2050,3,MEDIUM,HEAVY,SOUR,317.6980634,163.3454466
Medium Conversion: GO-HC (2),2,CNR,2050,3,MEDIUM,HEAVY,SOUR,124.4537376,181.2092295
Medium Conversion: GO-HC (2),2,FCC,2050,3,MEDIUM,HEAVY,SOUR,0,0
Medium Conversion: GO-HC (2),2,Coker,2050,3,MEDIUM,HEAVY,SOUR,106.5104349,185.9103519
Medium Conversion: GO-HC (2),2,Hydrotreater,2050,3,MEDIUM,HEAVY,SOUR,326.3060099,162.8563876
Medium Conversion: GO-HC (2),2,Steam Boiler,2050,3,MEDIUM,HEAVY,SOUR,26.79233881,237.2752954
Medium Conversion: GO-HC (2),2,SMR,2050,3,MEDIUM,HEAVY,SOUR,349.2041429,128.3151343
Medium Conversion: GO-HC (2),2,Others,2050,3,MEDIUM,HEAVY,SOUR,130.4946198,180.2923498
