,EmissionsThreshold,OilPrices,Risk.Free.Interest.Rate,Carbon.Capture.Operating.Cost.Variation,Carbon.Price.Variation,Carbon.Capture.CapEx,Year,RO_Options,Count,Total_Count,Percentage
637,Carbon Tax,Ref,Ref,Ref,Ref,Low,2040,Continue Operation,814,22000,0.037
638,Carbon Tax,Ref,Ref,Ref,Ref,Low,2040,Deploy Carbon Capture,21090,22000,0.958636364
639,Carbon Tax,Ref,Ref,Ref,Ref,Low,2040,Shutdown Refinery,96,22000,0.004363636
640,Carbon Tax,Ref,Ref,Ref,Ref,Low,2041,Continue Operation,310,23000,0.013478261
641,Carbon Tax,Ref,Ref,Ref,Ref,Low,2041,Deploy Carbon Capture,22344,23000,0.971478261
642,Carbon Tax,Ref,Ref,Ref,Ref,Low,2041,Shutdown Refinery,346,23000,0.015043478
643,Carbon Tax,Ref,Ref,Ref,Ref,Low,2042,Continue Operation,170,24000,0.007083333
644,Carbon Tax,Ref,Ref,Ref,Ref,Low,2042,Deploy Carbon Capture,20131,24000,0.838791667
645,Carbon Tax,Ref,Ref,Ref,Ref,Low,2042,Shutdown Refinery,3699,24000,0.154125
646,Carbon Tax,Ref,Ref,Ref,Ref,Low,2043,Continue Operation,60,25000,0.0024
647,Carbon Tax,Ref,Ref,Ref,Ref,Low,2043,Deploy Carbon Capture,18894,25000,0.75576
648,Carbon Tax,Ref,Ref,Ref,Ref,Low,2043,Shutdown Refinery,6046,25000,0.24184
649,Carbon Tax,Ref,Ref,Ref,Ref,Low,2044,Continue Operation,28,26000,0.001076923
650,Carbon Tax,Ref,Ref,Ref,Ref,Low,2044,Deploy Carbon Capture,15013,26000,0.577423077
651,Carbon Tax,Ref,Ref,Ref,Ref,Low,2044,Shutdown Refinery,10959,26000,0.4215
652,Carbon Tax,Ref,Ref,Ref,Ref,Low,2045,Continue Operation,12,27000,0.000444444
653,Carbon Tax,Ref,Ref,Ref,Ref,Low,2045,Deploy Carbon Capture,13938,27000,0.516222222
654,Carbon Tax,Ref,Ref,Ref,Ref,Low,2045,Shutdown Refinery,13050,27000,0.483333333
655,Carbon Tax,Ref,Ref,Ref,Ref,Low,2046,Continue Operation,6,28000,0.000214286
656,Carbon Tax,Ref,Ref,Ref,Ref,Low,2046,Deploy Carbon Capture,13482,28000,0.4815
657,Carbon Tax,Ref,Ref,Ref,Ref,Low,2046,Shutdown Refinery,14512,28000,0.518285714
658,Carbon Tax,Ref,Ref,Ref,Ref,Low,2047,Deploy Carbon Capture,13171,29000,0.454172414
659,Carbon Tax,Ref,Ref,Ref,Ref,Low,2047,Shutdown Refinery,15829,29000,0.545827586
660,Carbon Tax,Ref,Ref,Ref,Ref,Low,2048,Deploy Carbon Capture,12936,30000,0.4312
661,Carbon Tax,Ref,Ref,Ref,Ref,Low,2048,Shutdown Refinery,17064,30000,0.5688
662,Carbon Tax,Ref,Ref,Ref,Ref,Low,2049,Deploy Carbon Capture,11342,31000,0.365870968
663,Carbon Tax,Ref,Ref,Ref,Ref,Low,2049,Shutdown Refinery,19658,31000,0.634129032
664,Carbon Tax,Ref,Ref,Ref,Ref,Low,2050,Shutdown Refinery,32000,32000,1
665,Carbon Tax,Ref,Ref,Ref,Ref,Ref,2019,Continue Operation,8000,8000,1
666,Carbon Tax,Ref,Ref,Ref,Ref,Ref,2020,Continue Operation,16000,16000,1
667,Carbon Tax,Ref,Ref,Ref,Ref,Ref,2021,Continue Operation,24000,24000,1
668,Carbon Tax,Ref,Ref,Ref,Ref,Ref,2022,Continue Operation,16000,32000,0.5
669,Carbon Tax,Ref,Ref,Ref,Ref,Ref,2022,Deploy Carbon Capture,16000,32000,0.5
670,Carbon Tax,Ref,Ref,Ref,Ref,Ref,2023,Continue Operation,16000,40000,0.4
671,Carbon Tax,Ref,Ref,Ref,Ref,Ref,2023,Deploy Carbon Capture,24000,40000,0.6
672,Carbon Tax,Ref,Ref,Ref,Ref,Ref,2024,Continue Operation,16000,48000,0.333333333
673,Carbon Tax,Ref,Ref,Ref,Ref,Ref,2024,Deploy Carbon Capture,32000,48000,0.666666667
674,Carbon Tax,Ref,Ref,Ref,Ref,Ref,2025,Continue Operation,16000,56000,0.285714286
675,Carbon Tax,Ref,Ref,Ref,Ref,Ref,2025,Deploy Carbon Capture,40000,56000,0.714285714
676,Carbon Tax,Ref,Ref,Ref,Ref,Ref,2026,Continue Operation,16000,64000,0.25
677,Carbon Tax,Ref,Ref,Ref,Ref,Ref,2026,Deploy Carbon Capture,48000,64000,0.75
678,Carbon Tax,Ref,Ref,Ref,Ref,Ref,2027,Continue Operation,16000,72000,0.222222222
679,Carbon Tax,Ref,Ref,Ref,Ref,Ref,2027,Deploy Carbon Capture,56000,72000,0.777777778
680,Carbon Tax,Ref,Ref,Ref,Ref,Ref,2028,Continue Operation,15986,80000,0.199825
681,Carbon Tax,Ref,Ref,Ref,Ref,Ref,2028,Deploy Carbon Capture,64014,80000,0.800175
682,Carbon Tax,Ref,Ref,Ref,Ref,Ref,2029,Continue Operation,15986,88000,0.181659091
683,Carbon Tax,Ref,Ref,Ref,Ref,Ref,2029,Deploy Carbon Capture,72014,88000,0.818340909
684,Carbon Tax,Ref,Ref,Ref,Ref,Ref,2030,Continue Operation,15982,96000,0.166479167
685,Carbon Tax,Ref,Ref,Ref,Ref,Ref,2030,Deploy Carbon Capture,80018,96000,0.833520833
686,Carbon Tax,Ref,Ref,Ref,Ref,Ref,2031,Continue Operation,15967,104000,0.153528846
687,Carbon Tax,Ref,Ref,Ref,Ref,Ref,2031,Deploy Carbon Capture,88033,104000,0.846471154
688,Carbon Tax,Ref,Ref,Ref,Ref,Ref,2032,Continue Operation,15959,112000,0.142491071
689,Carbon Tax,Ref,Ref,Ref,Ref,Ref,2032,Deploy Carbon Capture,96041,112000,0.857508929
690,Carbon Tax,Ref,Ref,Ref,Ref,Ref,2033,Continue Operation,15935,120000,0.132791667
691,Carbon Tax,Ref,Ref,Ref,Ref,Ref,2033,Deploy Carbon Capture,104065,120000,0.867208333
692,Carbon Tax,Ref,Ref,Ref,Ref,Ref,2034,Continue Operation,15887,128000,0.124117188
693,Carbon Tax,Ref,Ref,Ref,Ref,Ref,2034,Deploy Carbon Capture,112113,128000,0.875882813
694,Carbon Tax,Ref,Ref,Ref,Ref,Ref,2035,Continue Operation,15471,136000,0.113757353
695,Carbon Tax,Ref,Ref,Ref,Ref,Ref,2035,Deploy Carbon Capture,120529,136000,0.886242647
696,Carbon Tax,Ref,Ref,Ref,Ref,Ref,2036,Continue Operation,15384,144000,0.106833333
697,Carbon Tax,Ref,Ref,Ref,Ref,Ref,2036,Deploy Carbon Capture,128601,144000,0.8930625
698,Carbon Tax,Ref,Ref,Ref,Ref,Ref,2036,Shutdown Refinery,15,144000,0.000104167
699,Carbon Tax,Ref,Ref,Ref,Ref,Ref,2037,Continue Operation,14498,152000,0.095381579
700,Carbon Tax,Ref,Ref,Ref,Ref,Ref,2037,Deploy Carbon Capture,137485,152000,0.904506579
701,Carbon Tax,Ref,Ref,Ref,Ref,Ref,2037,Shutdown Refinery,17,152000,0.000111842
702,Carbon Tax,Ref,Ref,Ref,Ref,Ref,2038,Continue Operation,12934,160000,0.0808375
703,Carbon Tax,Ref,Ref,Ref,Ref,Ref,2038,Deploy Carbon Capture,146932,160000,0.918325
704,Carbon Tax,Ref,Ref,Ref,Ref,Ref,2038,Shutdown Refinery,134,160000,0.0008375
705,Carbon Tax,Ref,Ref,Ref,Ref,Ref,2039,Continue Operation,10382,168000,0.061797619
706,Carbon Tax,Ref,Ref,Ref,Ref,Ref,2039,Deploy Carbon Capture,156756,168000,0.933071429
707,Carbon Tax,Ref,Ref,Ref,Ref,Ref,2039,Shutdown Refinery,862,168000,0.005130952
708,Carbon Tax,Ref,Ref,Ref,Ref,Ref,2040,Continue Operation,7836,176000,0.044522727
709,Carbon Tax,Ref,Ref,Ref,Ref,Ref,2040,Deploy Carbon Capture,163751,176000,0.930403409
710,Carbon Tax,Ref,Ref,Ref,Ref,Ref,2040,Shutdown Refinery,4413,176000,0.025073864
711,Carbon Tax,Ref,Ref,Ref,Ref,Ref,2041,Continue Operation,3954,184000,0.02148913
712,Carbon Tax,Ref,Ref,Ref,Ref,Ref,2041,Deploy Carbon Capture,169542,184000,0.921423913
713,Carbon Tax,Ref,Ref,Ref,Ref,Ref,2041,Shutdown Refinery,10504,184000,0.057086957
714,Carbon Tax,Ref,Ref,Ref,Ref,Ref,2042,Continue Operation,2706,192000,0.01409375
715,Carbon Tax,Ref,Ref,Ref,Ref,Ref,2042,Deploy Carbon Capture,153683,192000,0.800432292
716,Carbon Tax,Ref,Ref,Ref,Ref,Ref,2042,Shutdown Refinery,35611,192000,0.185473958
717,Carbon Tax,Ref,Ref,Ref,Ref,Ref,2043,Continue Operation,1243,200000,0.006215
718,Carbon Tax,Ref,Ref,Ref,Ref,Ref,2043,Deploy Carbon Capture,147629,200000,0.738145
719,Carbon Tax,Ref,Ref,Ref,Ref,Ref,2043,Shutdown Refinery,51128,200000,0.25564
720,Carbon Tax,Ref,Ref,Ref,Ref,Ref,2044,Continue Operation,729,208000,0.003504808
721,Carbon Tax,Ref,Ref,Ref,Ref,Ref,2044,Deploy Carbon Capture,123428,208000,0.593403846
722,Carbon Tax,Ref,Ref,Ref,Ref,Ref,2044,Shutdown Refinery,83843,208000,0.403091346
723,Carbon Tax,Ref,Ref,Ref,Ref,Ref,2045,Continue Operation,487,216000,0.00225463
724,Carbon Tax,Ref,Ref,Ref,Ref,Ref,2045,Deploy Carbon Capture,115713,216000,0.535708333
725,Carbon Tax,Ref,Ref,Ref,Ref,Ref,2045,Shutdown Refinery,99800,216000,0.462037037
726,Carbon Tax,Ref,Ref,Ref,Ref,Ref,2046,Continue Operation,293,224000,0.001308036
727,Carbon Tax,Ref,Ref,Ref,Ref,Ref,2046,Deploy Carbon Capture,108984,224000,0.486535714
728,Carbon Tax,Ref,Ref,Ref,Ref,Ref,2046,Shutdown Refinery,114723,224000,0.51215625
729,Carbon Tax,Ref,Ref,Ref,Ref,Ref,2047,Continue Operation,106,232000,0.000456897
730,Carbon Tax,Ref,Ref,Ref,Ref,Ref,2047,Deploy Carbon Capture,100296,232000,0.432310345
731,Carbon Tax,Ref,Ref,Ref,Ref,Ref,2047,Shutdown Refinery,131598,232000,0.567232759
732,Carbon Tax,Ref,Ref,Ref,Ref,Ref,2048,Continue Operation,106,240000,0.000441667
733,Carbon Tax,Ref,Ref,Ref,Ref,Ref,2048,Deploy Carbon Capture,79681,240000,0.332004167
734,Carbon Tax,Ref,Ref,Ref,Ref,Ref,2048,Shutdown Refinery,160213,240000,0.667554167
735,Carbon Tax,Ref,Ref,Ref,Ref,Ref,2049,Continue Operation,88,248000,0.000354839
736,Carbon Tax,Ref,Ref,Ref,Ref,Ref,2049,Deploy Carbon Capture,36693,248000,0.147955645
737,Carbon Tax,Ref,Ref,Ref,Ref,Ref,2049,Shutdown Refinery,211219,248000,0.851689516
738,Carbon Tax,Ref,Ref,Ref,Ref,Ref,2050,Continue Operation,22,256000,8.59E-05
739,Carbon Tax,Ref,Ref,Ref,Ref,Ref,2050,Deploy Carbon Capture,330,256000,0.001289063
740,Carbon Tax,Ref,Ref,Ref,Ref,Ref,2050,Shutdown Refinery,255648,256000,0.998625
