Refinery configuration,Config,Capture Scenario,SMR Capture Locations,Year,PADD,Scenario,API,Sul,"Crude Throughput, bpd",Normalized Avoidance cost,Normalized Avoided CO2
Deep Conversion: FCC (4),4,SMR,Furnance outlet,2035,PADD1,MEDIUM,HEAVY,SOUR,67044.02554,345.5543235,36.28351601
Deep Conversion: GO-HC (5),5,SMR,PSA inlet,2035,PADD1,MEDIUM,HEAVY,SOUR,1000,0,0
Deep Conversion: GO-HC (5),5,SMR,PSA outlet,2035,PADD1,MEDIUM,HEAVY,SOUR,1000,0,0
Deep Conversion: GO-HC (5),5,SMR,Furnance outlet,2035,PADD1,MEDIUM,HEAVY,SOUR,1000,0,0
Deep Conversion: FCC & GO-HC (6),6,SMR,PSA inlet,2035,PADD1,MEDIUM,HEAVY,SOUR,84437.73626,322.8941353,40.82524945
Deep Conversion: FCC & GO-HC (6),6,SMR,PSA outlet,2035,PADD1,MEDIUM,HEAVY,SOUR,84437.73626,286.942216,42.21329383
Deep Conversion: FCC & GO-HC (6),6,SMR,Furnance outlet,2035,PADD1,MEDIUM,HEAVY,SOUR,84437.73626,317.1798864,49.39871024
Hydroskimming Configuration (0),0,SMR,PSA inlet,2035,PADD1,MEDIUM,LIGHT,SWEET,12968.98839,0,0
Hydroskimming Configuration (0),0,SMR,PSA outlet,2035,PADD1,MEDIUM,LIGHT,SWEET,12968.98839,0,0
Hydroskimming Configuration (0),0,SMR,Furnance outlet,2035,PADD1,MEDIUM,LIGHT,SWEET,12968.98839,0,0
Medium Conversion:  FCC (1),1,SMR,PSA inlet,2035,PADD1,MEDIUM,LIGHT,SWEET,281546.645,289.1790606,76.79922965
Medium Conversion:  FCC (1),1,SMR,PSA outlet,2035,PADD1,MEDIUM,LIGHT,SWEET,281546.645,252.6999886,79.43794962
Medium Conversion:  FCC (1),1,SMR,Furnance outlet,2035,PADD1,MEDIUM,LIGHT,SWEET,281546.645,290.4777072,93.22494956
Medium Conversion: GO-HC (2),2,SMR,PSA inlet,2035,PADD1,MEDIUM,LIGHT,SWEET,1000,0,0
Medium Conversion: GO-HC (2),2,SMR,PSA outlet,2035,PADD1,MEDIUM,LIGHT,SWEET,1000,0,0
Medium Conversion: GO-HC (2),2,SMR,Furnance outlet,2035,PADD1,MEDIUM,LIGHT,SWEET,1000,0,0
Medium Conversion: FCC & GO-HC (3),3,SMR,PSA inlet,2035,PADD1,MEDIUM,LIGHT,SWEET,77473.17331,372.6662071,26.81295654
Medium Conversion: FCC & GO-HC (3),3,SMR,PSA outlet,2035,PADD1,MEDIUM,LIGHT,SWEET,77473.17331,331.7979291,27.73079324
Medium Conversion: FCC & GO-HC (3),3,SMR,Furnance outlet,2035,PADD1,MEDIUM,LIGHT,SWEET,77473.17331,364.4307043,32.4807806
Deep Conversion: FCC (4),4,SMR,PSA inlet,2035,PADD1,MEDIUM,LIGHT,SWEET,67044.02554,363.2704811,28.33149359
Deep Conversion: FCC (4),4,SMR,PSA outlet,2035,PADD1,MEDIUM,LIGHT,SWEET,67044.02554,323.6681785,29.30162994
Deep Conversion: FCC (4),4,SMR,Furnance outlet,2035,PADD1,MEDIUM,LIGHT,SWEET,67044.02554,354.4198662,34.37947413
Deep Conversion: GO-HC (5),5,SMR,PSA inlet,2035,PADD1,MEDIUM,LIGHT,SWEET,1000,0,0
Deep Conversion: GO-HC (5),5,SMR,PSA outlet,2035,PADD1,MEDIUM,LIGHT,SWEET,1000,0,0
Deep Conversion: GO-HC (5),5,SMR,Furnance outlet,2035,PADD1,MEDIUM,LIGHT,SWEET,1000,0,0
Deep Conversion: FCC & GO-HC (6),6,SMR,PSA inlet,2035,PADD1,MEDIUM,LIGHT,SWEET,84437.73626,291.9896384,64.33445004
Deep Conversion: FCC & GO-HC (6),6,SMR,PSA outlet,2035,PADD1,MEDIUM,LIGHT,SWEET,84437.73626,258.7304699,66.53007652
Deep Conversion: FCC & GO-HC (6),6,SMR,Furnance outlet,2035,PADD1,MEDIUM,LIGHT,SWEET,84437.73626,287.8646841,77.94254026
Hydroskimming Configuration (0),0,SMR,PSA inlet,2050,PADD1,MEDIUM,HEAVY,SOUR,10064.86874,0,0
Hydroskimming Configuration (0),0,SMR,PSA outlet,2050,PADD1,MEDIUM,HEAVY,SOUR,10064.86874,0,0
Hydroskimming Configuration (0),0,SMR,Furnance outlet,2050,PADD1,MEDIUM,HEAVY,SOUR,10064.86874,0,0
Medium Conversion:  FCC (1),1,SMR,PSA inlet,2050,PADD1,MEDIUM,HEAVY,SOUR,238469.9626,261.6129901,107.3530974
Medium Conversion:  FCC (1),1,SMR,PSA outlet,2050,PADD1,MEDIUM,HEAVY,SOUR,238469.9626,230.56651,111.0470729
Medium Conversion:  FCC (1),1,SMR,Furnance outlet,2050,PADD1,MEDIUM,HEAVY,SOUR,238469.9626,259.2701704,130.5579688
Medium Conversion: GO-HC (2),2,SMR,PSA inlet,2050,PADD1,MEDIUM,HEAVY,SOUR,1000,0,0
Medium Conversion: GO-HC (2),2,SMR,PSA outlet,2050,PADD1,MEDIUM,HEAVY,SOUR,1000,0,0
Medium Conversion: GO-HC (2),2,SMR,Furnance outlet,2050,PADD1,MEDIUM,HEAVY,SOUR,1000,0,0
Medium Conversion: FCC & GO-HC (3),3,SMR,PSA inlet,2050,PADD1,MEDIUM,HEAVY,SOUR,60085.63897,323.5305067,40.83398787
Medium Conversion: FCC & GO-HC (3),3,SMR,PSA outlet,2050,PADD1,MEDIUM,HEAVY,SOUR,60085.63897,290.2416625,42.23064792
Medium Conversion: FCC & GO-HC (3),3,SMR,Furnance outlet,2050,PADD1,MEDIUM,HEAVY,SOUR,60085.63897,313.0682583,49.54033043
Deep Conversion: FCC (4),4,SMR,PSA inlet,2050,PADD1,MEDIUM,HEAVY,SOUR,56786.27875,365.3531031,26.91090007
Deep Conversion: FCC (4),4,SMR,PSA outlet,2050,PADD1,MEDIUM,HEAVY,SOUR,56786.27875,327.9344285,27.83050929
Deep Conversion: FCC (4),4,SMR,Furnance outlet,2050,PADD1,MEDIUM,HEAVY,SOUR,56786.27875,352.9864967,32.65749966
Deep Conversion: GO-HC (5),5,SMR,PSA inlet,2050,PADD1,MEDIUM,HEAVY,SOUR,1000,0,0
Deep Conversion: GO-HC (5),5,SMR,PSA outlet,2050,PADD1,MEDIUM,HEAVY,SOUR,1000,0,0
Deep Conversion: GO-HC (5),5,SMR,Furnance outlet,2050,PADD1,MEDIUM,HEAVY,SOUR,1000,0,0
