Electrification Scenarios,Year,PADD,API Level,Sul Level,Attribute,Value,,,
LOW,2050,PADD 3,LIGHT,SWEET,0,1212.134675,3.20362489,46.89186137,46.89186137
LOW,2050,PADD 3,LIGHT,SWEET,1,759.7279758,11.05634247,46.89186137,46.89186137
LOW,2050,PADD 3,LIGHT,SWEET,2,315.8741502,3.388002697,46.89186137,46.89186137
LOW,2050,PADD 3,LIGHT,SWEET,3,634.7846886,10.55683119,46.89186137,46.89186137
LOW,2050,PADD 3,LIGHT,SWEET,4,1496.360737,23.96413595,46.89186137,46.89186137
LOW,2050,PADD 3,LIGHT,SWEET,5,0.003253985,0.939201428,46.89186137,46.89186137
LOW,2050,PADD 3,LIGHT,SWEET,6,4148.527907,46.89186137,46.89186137,46.89186137
LOW,2050,PADD 3,LIGHT,SOUR,0,1212.134675,3.20362489,46.89186137,46.89186137
LOW,2050,PADD 3,LIGHT,SOUR,1,759.7279758,11.05634247,46.89186137,46.89186137
LOW,2050,PADD 3,LIGHT,SOUR,2,315.8741502,3.388002697,46.89186137,46.89186137
LOW,2050,PADD 3,LIGHT,SOUR,3,634.7846886,10.55683119,46.89186137,46.89186137
LOW,2050,PADD 3,LIGHT,SOUR,4,1496.360737,23.96413595,46.89186137,46.89186137
LOW,2050,PADD 3,LIGHT,SOUR,5,0.003253985,0.939201428,46.89186137,46.89186137
LOW,2050,PADD 3,LIGHT,SOUR,6,4148.527907,46.89186137,46.89186137,46.89186137
LOW,2035,PADD 4,HEAVY,SWEET,0,41.24720907,2.179297045,11.21721554,50.90397862
LOW,2035,PADD 4,HEAVY,SWEET,1,311.6567847,49.9987727,11.21721554,50.90397862
LOW,2035,PADD 4,HEAVY,SWEET,2,0,0,11.21721554,50.90397862
LOW,2035,PADD 4,HEAVY,SWEET,3,138.9647436,8.573618338,11.21721554,50.90397862
LOW,2035,PADD 4,HEAVY,SWEET,4,162.3085418,28.03109639,11.21721554,50.90397862
LOW,2035,PADD 4,HEAVY,SWEET,5,0,0,11.21721554,50.90397862
LOW,2035,PADD 4,HEAVY,SWEET,6,7.34286E-11,11.21721554,11.21721554,50.90397862
LOW,2035,PADD 4,HEAVY,SOUR,0,41.24720907,2.179297045,11.21721554,50.90397862
LOW,2035,PADD 4,HEAVY,SOUR,1,311.6567847,49.9987727,11.21721554,50.90397862
LOW,2035,PADD 4,HEAVY,SOUR,2,0,0,11.21721554,50.90397862
LOW,2035,PADD 4,HEAVY,SOUR,3,138.9647436,8.573618338,11.21721554,50.90397862
LOW,2035,PADD 4,HEAVY,SOUR,4,162.3085418,28.03109639,11.21721554,50.90397862
LOW,2035,PADD 4,HEAVY,SOUR,5,0,0,11.21721554,50.90397862
LOW,2035,PADD 4,HEAVY,SOUR,6,7.34286E-11,11.21721554,11.21721554,50.90397862
LOW,2035,PADD 4,LIGHT,SWEET,0,41.24720907,2.179297045,11.21721554,50.90397862
LOW,2035,PADD 4,LIGHT,SWEET,1,311.6567847,49.9987727,11.21721554,50.90397862
LOW,2035,PADD 4,LIGHT,SWEET,2,0,0,11.21721554,50.90397862
LOW,2035,PADD 4,LIGHT,SWEET,3,138.9647436,8.573618338,11.21721554,50.90397862
LOW,2035,PADD 4,LIGHT,SWEET,4,162.3618237,28.03109639,11.21721554,50.90397862
LOW,2035,PADD 4,LIGHT,SWEET,5,0,0,11.21721554,50.90397862
LOW,2035,PADD 4,LIGHT,SWEET,6,7.98007E-11,11.21721554,11.21721554,50.90397862
LOW,2035,PADD 4,LIGHT,SOUR,0,41.24720907,2.179297045,11.21721554,50.90397862
LOW,2035,PADD 4,LIGHT,SOUR,1,311.6567847,49.9987727,11.21721554,50.90397862
LOW,2035,PADD 4,LIGHT,SOUR,2,0,0,11.21721554,50.90397862
LOW,2035,PADD 4,LIGHT,SOUR,3,138.9647436,8.573618338,11.21721554,50.90397862
LOW,2035,PADD 4,LIGHT,SOUR,4,162.3618237,28.03109639,11.21721554,50.90397862
LOW,2035,PADD 4,LIGHT,SOUR,5,0,0,11.21721554,50.90397862
LOW,2035,PADD 4,LIGHT,SOUR,6,7.98007E-11,11.21721554,11.21721554,50.90397862
LOW,2050,PADD 4,HEAVY,SWEET,0,67.57941815,2.179297044,1.210576422,46.89186137
LOW,2050,PADD 4,HEAVY,SWEET,1,392.1135694,66.21585044,1.210576422,46.89186137
