PADD,Year,API_BAU,API_LB,API_UB,Sulfur_BAU,Sulfur_LB,Sulfur_UB
4,2023,32.81152205,31.7371047,33.8859394,1.430310365,1.227977105,1.66598199
4,2024,32.71728307,31.48790557,33.94666057,1.450901831,1.203642133,1.748955162
4,2025,32.6230441,31.25577162,33.99031657,1.471789741,1.18610017,1.826291824
4,2026,32.52880512,31.03596582,34.02164442,1.492978365,1.172801473,1.900564119
4,2027,32.43456615,30.82559874,34.04353355,1.51447203,1.162457391,1.973083529
4,2028,32.34032717,30.62275434,34.0579,1.53627513,1.154313347,2.044627899
4,2029,32.24608819,30.42608498,34.06609141,1.558392117,1.14788462,2.115705662
4,2030,32.15184922,30.23460027,34.06909817,1.580827512,1.142839205,2.18667299
4,2031,32.05761024,30.04754717,34.06767331,1.603585898,1.138938706,2.257792907
4,2032,31.96337127,29.86433736,34.06240517,1.626671925,1.136005618,2.329268016
4,2033,31.86913229,29.68450086,34.05376372,1.65009031,1.133903919,2.401259918
4,2034,31.77489331,29.50765522,34.0421314,1.673845838,1.132526913,2.473901378
4,2035,31.68065434,29.3334843,34.02782438,1.697943362,1.13178927,2.547304289
4,2036,31.58641536,29.16172322,34.01110751,1.722387807,1.13162163,2.621565088
4,2037,31.49217639,28.99214748,33.99220529,1.747184166,1.131966824,2.696768531
4,2038,31.39793741,28.82456484,33.97130999,1.772337506,1.132777166,2.772990425
4,2039,31.30369844,28.65880917,33.9485877,1.797852966,1.134012463,2.850299616
4,2040,31.20945946,28.49473579,33.92418313,1.823735759,1.135638529,2.928759491
4,2041,31.11522048,28.33221777,33.89822319,1.849991174,1.137626052,3.008429122
4,2042,31.02098151,28.17114304,33.87081998,1.876624575,1.13994972,3.089364148
4,2043,30.92674253,28.01141204,33.84207302,1.903641404,1.142587536,3.171617473
4,2044,30.83250356,27.85293591,33.8120712,1.931047181,1.145520275,3.255239819
4,2045,30.73826458,27.69563491,33.78089425,1.958847505,1.14873105,3.340280168
