Refinery Configuration,Config,Capture Scenario,Year,PADD,Scenario,API,Sul,"Total Avoided CO2,kt/y","Marginal Abatement Cost, $/t"
Medium Conversion:  FCC (1),1,Others,2035,1,HIGH,HEAVY,SOUR,108.4586176,332.6773951
Medium Conversion: GO-HC (2),2,ADU/VDU,2035,1,HIGH,HEAVY,SOUR,0,0
Medium Conversion: GO-HC (2),2,CNR,2035,1,HIGH,HEAVY,SOUR,0,0
Medium Conversion: GO-HC (2),2,FCC/RFCC,2035,1,HIGH,HEAVY,SOUR,0,0
Medium Conversion: GO-HC (2),2,Coker,2035,1,HIGH,HEAVY,SOUR,0,0
Medium Conversion: GO-HC (2),2,Hydrotreater,2035,1,HIGH,HEAVY,SOUR,0,0
Medium Conversion: GO-HC (2),2,Steam Boiler,2035,1,HIGH,HEAVY,SOUR,0,0
Medium Conversion: GO-HC (2),2,SMR,2035,1,HIGH,HEAVY,SOUR,0,0
Medium Conversion: GO-HC (2),2,Others,2035,1,HIGH,HEAVY,SOUR,0,0
Medium Conversion: FCC & GO-HC (3),3,ADU/VDU,2035,1,HIGH,HEAVY,SOUR,109.1322483,320.4910118
