Refinery configuration,Config,Capture Scenario,SMR Capture Locations,Year,PADD,Scenario,API,Sul,"Crude Throughput, bpd",Avoidance Cost,"Avoided CO2, kt/y",Normalized Avoidance cost,Normalized Avoided CO2
Deep Conversion: FCC & GO-HC (6),6,SMR,PSA outlet,2050,PADD1,LOW,HEAVY,SOUR,115644.1412,222.4437357,85.10334266,228.1188548,119.8988274
Deep Conversion: FCC & GO-HC (6),6,SMR,Furnance outlet,2050,PADD1,LOW,HEAVY,SOUR,115644.1412,248.4983556,99.72131358,253.5872578,140.4935246
Hydroskimming Configuration (0),0,SMR,PSA inlet,2050,PADD1,LOW,LIGHT,SWEET,14927.56494,648.6462399,5.863222067,1180.111078,2.323377057
Hydroskimming Configuration (0),0,SMR,PSA outlet,2050,PADD1,LOW,LIGHT,SWEET,14927.56494,593.4581983,6.065217412,1080.613684,2.403420307
Hydroskimming Configuration (0),0,SMR,Furnance outlet,2050,PADD1,LOW,LIGHT,SWEET,14927.56494,622.1799433,7.014587863,1132.395532,2.779620543
Medium Conversion:  FCC (1),1,SMR,PSA inlet,2050,PADD1,LOW,LIGHT,SWEET,353683.2864,211.2164632,199.6011741,297.7558319,73.212139
Medium Conversion:  FCC (1),1,SMR,PSA outlet,2050,PADD1,LOW,LIGHT,SWEET,353683.2864,182.8745858,206.4707573,259.2348382,75.73184803
Medium Conversion:  FCC (1),1,SMR,Furnance outlet,2050,PADD1,LOW,LIGHT,SWEET,353683.2864,213.3266202,242.3681898,300.6238615,88.89874361
Medium Conversion: GO-HC (2),2,SMR,PSA inlet,2050,PADD1,LOW,LIGHT,SWEET,1000,1845.634178,1.162156291,0,0
Medium Conversion: GO-HC (2),2,SMR,PSA outlet,2050,PADD1,LOW,LIGHT,SWEET,1000,1725.839101,1.178855898,0,0
Medium Conversion: GO-HC (2),2,SMR,Furnance outlet,2050,PADD1,LOW,LIGHT,SWEET,1000,1807.462867,1.394624283,0,0
Medium Conversion: FCC & GO-HC (3),3,SMR,PSA inlet,2050,PADD1,LOW,LIGHT,SWEET,89115.14903,277.5215312,54.89797922,332.5510299,38.05168615
Medium Conversion: FCC & GO-HC (3),3,SMR,PSA outlet,2050,PADD1,LOW,LIGHT,SWEET,89115.14903,246.2232605,56.78233811,296.2511198,39.35780041
Medium Conversion: FCC & GO-HC (3),3,SMR,Furnance outlet,2050,PADD1,LOW,LIGHT,SWEET,89115.14903,270.7622262,66.60012891,324.71155,46.16285042
Deep Conversion: FCC (4),4,SMR,PSA inlet,2050,PADD1,LOW,LIGHT,SWEET,84221.75049,269.6637681,64.60905047,315.0937508,45.59300942
Deep Conversion: FCC (4),4,SMR,PSA outlet,2050,PADD1,LOW,LIGHT,SWEET,84221.75049,238.9338998,66.81794647,280.4039052,47.15177271
Deep Conversion: FCC (4),4,SMR,Furnance outlet,2050,PADD1,LOW,LIGHT,SWEET,84221.75049,263.7336012,78.30837669,308.3993982,55.26028521
Deep Conversion: GO-HC (5),5,SMR,PSA inlet,2050,PADD1,LOW,LIGHT,SWEET,1000,1501.121773,1.516650611,0,0
Deep Conversion: GO-HC (5),5,SMR,PSA outlet,2050,PADD1,LOW,LIGHT,SWEET,1000,1405.890496,1.533083601,0,0
Deep Conversion: GO-HC (5),5,SMR,Furnance outlet,2050,PADD1,LOW,LIGHT,SWEET,1000,1463.239046,1.835072435,0,0
Deep Conversion: FCC & GO-HC (6),6,SMR,PSA inlet,2050,PADD1,LOW,LIGHT,SWEET,115644.1412,241.8230681,97.18146396,283.4773205,71.34367274
Deep Conversion: FCC & GO-HC (6),6,SMR,PSA outlet,2050,PADD1,LOW,LIGHT,SWEET,115644.1412,212.9650801,99.74136171,250.923016,73.22296638
Deep Conversion: FCC & GO-HC (6),6,SMR,Furnance outlet,2050,PADD1,LOW,LIGHT,SWEET,115644.1412,239.9227364,118.9346359,281.3335821,87.31329407
Hydroskimming Configuration (0),0,SMR,PSA inlet,2035,PADD1,MEDIUM,HEAVY,SOUR,12968.98839,766.1693529,4.339463956,0,0
Hydroskimming Configuration (0),0,SMR,PSA outlet,2035,PADD1,MEDIUM,HEAVY,SOUR,12968.98839,702.5344752,4.489062429,0,0
Hydroskimming Configuration (0),0,SMR,Furnance outlet,2035,PADD1,MEDIUM,HEAVY,SOUR,12968.98839,735.3180154,5.192169572,0,0
