Refinery configuration,Config,Capture Scenario,Year,PADD,Scenario,API,Sul,"Crude Throughput, bpd","Total Avoided CO2_Avg,kt/y","Avoidance Cost Ref, $/t","Avoidance Cost 0.5Ref, $/t","Avoidance Cost 1.5Ref, $/t"
Deep Conversion: FCC & GO-HC (6),6,No Carbon Capture,2035,PADD1,LOW,HEAVY,SOUR,105448.553,0,0,0,0
Deep Conversion: FCC & GO-HC (6),6,ADU/VDU,2035,PADD1,LOW,HEAVY,SOUR,105448.553,156.7984128,307.3982955,306.397348,309.8668664
Deep Conversion: FCC & GO-HC (6),6,CNR,2035,PADD1,LOW,HEAVY,SOUR,105448.553,160.212494,305.7036535,304.9780649,307.4931249
Deep Conversion: FCC & GO-HC (6),6,FCC/RFCC,2035,PADD1,LOW,HEAVY,SOUR,105448.553,111.6221531,229.2100728,227.813215,232.655051
Deep Conversion: FCC & GO-HC (6),6,Coker,2035,PADD1,LOW,HEAVY,SOUR,105448.553,72.7133266,350.4127888,349.2306915,353.3281176
Deep Conversion: FCC & GO-HC (6),6,Hydrotreater,2035,PADD1,LOW,HEAVY,SOUR,105448.553,75.43816366,349.1156319,347.5186971,353.0540471
Deep Conversion: FCC & GO-HC (6),6,Steam Boiler,2035,PADD1,LOW,HEAVY,SOUR,105448.553,29.28255217,429.0350822,426.9569207,434.160315
Deep Conversion: FCC & GO-HC (6),6,SMR,2035,PADD1,LOW,HEAVY,SOUR,105448.553,0,0,0,0
Deep Conversion: FCC & GO-HC (6),6,Others,2035,PADD1,LOW,HEAVY,SOUR,105448.553,47.70546712,381.5876392,379.085048,387.759615
Hydroskimming Configuration (0),0,No Carbon Capture,2035,PADD1,LOW,LIGHT,SWEET,16196.08862,0,0,0,0
Hydroskimming Configuration (0),0,ADU/VDU,2035,PADD1,LOW,LIGHT,SWEET,16196.08862,17.18875137,467.0103669,464.2732799,473.7606641
Hydroskimming Configuration (0),0,CNR,2035,PADD1,LOW,LIGHT,SWEET,16196.08862,0,0,0,0
Hydroskimming Configuration (0),0,FCC/RFCC,2035,PADD1,LOW,LIGHT,SWEET,16196.08862,0,0,0,0
Hydroskimming Configuration (0),0,Coker,2035,PADD1,LOW,LIGHT,SWEET,16196.08862,0,0,0,0
