Refinery Configuration,Config,Capture Scenario,Year,PADD,Scenario,API,Sul,"Total Avoided CO2,kt/y","Marginal Abatement Cost, $/t"
Deep Conversion: FCC (4),4,Others,2050,1,LOW,LIGHT,SWEET,36.67637839,399.6072309
Deep Conversion: GO-HC (5),5,ADU/VDU,2050,1,LOW,LIGHT,SWEET,0,0
Deep Conversion: GO-HC (5),5,CNR,2050,1,LOW,LIGHT,SWEET,0,0
Deep Conversion: GO-HC (5),5,FCC/RFCC,2050,1,LOW,LIGHT,SWEET,0.00E+00,0
Deep Conversion: GO-HC (5),5,Coker,2050,1,LOW,LIGHT,SWEET,0,0
Deep Conversion: GO-HC (5),5,Hydrotreater,2050,1,LOW,LIGHT,SWEET,0,0
Deep Conversion: GO-HC (5),5,Steam Boiler,2050,1,LOW,LIGHT,SWEET,0,0
Deep Conversion: GO-HC (5),5,SMR,2050,1,LOW,LIGHT,SWEET,0,0
Deep Conversion: GO-HC (5),5,Others,2050,1,LOW,LIGHT,SWEET,0,0
Deep Conversion: FCC & GO-HC (6),6,ADU/VDU,2050,1,LOW,LIGHT,SWEET,152.5755057,312.853837
Deep Conversion: FCC & GO-HC (6),6,CNR,2050,1,LOW,LIGHT,SWEET,111.400026,326.7425531
Deep Conversion: FCC & GO-HC (6),6,FCC/RFCC,2050,1,LOW,LIGHT,SWEET,86.82130015,242.8634944
Deep Conversion: FCC & GO-HC (6),6,Coker,2050,1,LOW,LIGHT,SWEET,58.73547138,366.269258
Deep Conversion: FCC & GO-HC (6),6,Hydrotreater,2050,1,LOW,LIGHT,SWEET,156.9289101,312.1541984
Deep Conversion: FCC & GO-HC (6),6,Steam Boiler,2050,1,LOW,LIGHT,SWEET,30.58253292,426.0468263
Deep Conversion: FCC & GO-HC (6),6,SMR,2050,1,LOW,LIGHT,SWEET,86.77228714,281.3335821
Deep Conversion: FCC & GO-HC (6),6,Others,2050,1,LOW,LIGHT,SWEET,39.80719107,403.6724105
Hydroskimming Configuration (0),0,ADU/VDU,2035,1,MEDIUM,LIGHT,SWEET,13.54911786,506.2318078
Hydroskimming Configuration (0),0,CNR,2035,1,MEDIUM,LIGHT,SWEET,12.77973179,514.7328934
Hydroskimming Configuration (0),0,FCC/RFCC,2035,1,MEDIUM,LIGHT,SWEET,3.56E-17,0
Hydroskimming Configuration (0),0,Coker,2035,1,MEDIUM,LIGHT,SWEET,1.55E-17,0
Hydroskimming Configuration (0),0,Hydrotreater,2035,1,MEDIUM,LIGHT,SWEET,15.86313744,487.4931621
Hydroskimming Configuration (0),0,Steam Boiler,2035,1,MEDIUM,LIGHT,SWEET,2.831963502,994.2393945
Hydroskimming Configuration (0),0,SMR,2035,1,MEDIUM,LIGHT,SWEET,0,0
Hydroskimming Configuration (0),0,Others,2035,1,MEDIUM,LIGHT,SWEET,2.614140949,1074.412035
Medium Conversion:  FCC (1),1,ADU/VDU,2035,1,MEDIUM,LIGHT,SWEET,390.8086172,278.5549453
Medium Conversion:  FCC (1),1,CNR,2035,1,MEDIUM,LIGHT,SWEET,349.8542043,282.5047968
Medium Conversion:  FCC (1),1,FCC/RFCC,2035,1,MEDIUM,LIGHT,SWEET,365.2744663,187.1249691
Medium Conversion:  FCC (1),1,Coker,2035,1,MEDIUM,LIGHT,SWEET,115.4024422,335.1949843
Medium Conversion:  FCC (1),1,Hydrotreater,2035,1,MEDIUM,LIGHT,SWEET,464.0416797,273.0127424
Medium Conversion:  FCC (1),1,Steam Boiler,2035,1,MEDIUM,LIGHT,SWEET,85.15899671,358.037663
Medium Conversion:  FCC (1),1,SMR,2035,1,MEDIUM,LIGHT,SWEET,92.73706662,290.4777072
Medium Conversion:  FCC (1),1,Others,2035,1,MEDIUM,LIGHT,SWEET,76.49412362,368.9553463
Medium Conversion: GO-HC (2),2,ADU/VDU,2035,1,MEDIUM,LIGHT,SWEET,0,0
Medium Conversion: GO-HC (2),2,CNR,2035,1,MEDIUM,LIGHT,SWEET,0,0
